week,Nike buy,Nike sale,Nike discount,Nike outlet,Nike deals,Nike Air Max,Nike Dunk,Nike Jordan,Nike running shoes,Nike sneakers,purchase_intent_index,product_interest_index,brand_index
2021-12-26,19,42,15,84,3,90,42,67,18,32,32.6,49.8,39.5
2022-01-02,16,31,15,57,1,74,39,51,18,28,24.0,42.0,31.2
2022-01-09,15,31,12,52,1,63,40,51,16,26,22.2,39.2,29.0
2022-01-16,14,28,11,48,1,65,37,50,14,26,20.4,38.4,27.6
2022-01-23,14,31,13,45,1,70,41,51,16,26,20.8,40.8,28.8
2022-01-30,16,32,15,50,1,70,57,53,16,28,22.8,44.8,31.6
2022-02-06,15,33,14,53,1,70,40,50,18,28,23.2,41.2,30.4
2022-02-13,15,31,13,54,2,72,40,58,17,30,23.0,43.4,31.2
2022-02-20,16,34,14,64,2,83,44,61,20,32,26.0,48.0,34.8
2022-02-27,17,34,14,60,1,82,53,65,20,31,25.2,50.2,35.2
2022-03-06,17,34,15,59,1,80,47,56,21,31,25.2,47.0,33.9
2022-03-13,17,32,15,64,2,76,39,55,20,31,26.0,44.2,33.3
2022-03-20,15,35,16,61,1,84,46,55,20,34,25.6,47.8,34.5
2022-03-27,15,33,15,55,1,80,55,57,19,27,23.8,47.6,33.3
2022-04-03,17,32,15,54,2,81,48,56,19,32,24.0,47.2,33.3
2022-04-10,16,30,14,55,2,82,46,56,18,29,23.4,46.2,32.5
2022-04-17,15,30,12,56,2,71,48,54,18,27,23.0,43.6,31.2
2022-04-24,15,31,12,53,1,71,42,55,18,29,22.4,43.0,30.6
2022-05-01,16,28,13,55,2,68,47,53,18,29,22.8,43.0,30.9
2022-05-08,15,28,12,52,1,70,42,50,17,26,21.6,41.0,29.4
2022-05-15,14,27,13,54,1,65,37,48,16,27,21.8,38.6,28.5
2022-05-22,13,31,14,56,2,66,40,47,16,28,23.2,39.4,29.7
2022-05-29,13,33,14,63,2,64,46,46,17,26,25.0,39.8,30.9
2022-06-05,14,27,13,56,2,63,37,41,18,28,22.4,37.4,28.4
2022-06-12,14,29,14,57,2,65,35,43,17,27,23.2,37.4,28.9
2022-06-19,14,29,13,61,2,63,38,42,16,27,23.8,37.2,29.2
2022-06-26,12,30,14,61,1,61,36,46,15,25,23.6,36.6,28.8
2022-07-03,13,35,15,64,2,62,41,44,16,27,25.8,38.0,30.7
2022-07-10,15,40,17,71,2,71,47,53,17,27,29.0,43.0,34.6
2022-07-17,15,36,15,70,2,76,59,63,17,31,27.6,49.2,36.2
2022-07-24,16,40,18,77,2,77,60,63,19,30,30.6,49.8,38.3
2022-07-31,17,40,17,92,2,95,59,68,21,31,33.6,54.8,42.1
2022-08-07,17,43,22,86,2,94,68,67,20,34,34.0,56.6,43.0
2022-08-14,16,37,18,79,2,83,52,63,19,31,30.4,49.6,38.1
2022-08-21,16,36,16,66,2,75,66,61,18,30,27.2,50.0,36.3
2022-08-28,15,35,15,62,2,69,64,58,17,31,25.8,47.8,34.6
2022-09-04,14,36,13,58,2,69,47,52,16,30,24.6,42.8,31.9
2022-09-11,14,29,11,50,1,58,50,50,14,28,21.0,40.0,28.6
2022-09-18,13,30,12,56,2,60,46,50,14,27,22.6,39.4,29.3
2022-09-25,14,32,13,54,1,61,48,52,13,27,22.8,40.2,29.8
2022-10-02,14,34,14,52,2,59,47,52,14,27,23.2,39.8,29.8
2022-10-09,15,31,12,57,3,57,56,49,14,29,23.6,41.0,30.6
2022-10-16,13,30,13,53,2,53,48,49,13,29,22.2,38.4,28.7
2022-10-23,14,29,11,50,2,52,44,52,13,26,21.2,37.4,27.7
2022-10-30,14,31,12,49,3,55,51,49,13,27,21.8,39.0,28.7
2022-11-06,15,38,14,57,5,62,53,60,14,28,25.8,43.4,32.8
2022-11-13,19,46,15,59,9,68,59,75,14,28,29.6,48.8,37.3
2022-11-20,35,89,23,100,52,99,76,96,22,40,59.8,66.6,62.5
2022-11-27,25,55,19,62,21,85,77,81,17,35,36.4,59.0,45.4
2022-12-04,21,53,19,68,3,79,73,87,16,33,32.8,57.6,42.7
2022-12-11,25,51,21,81,3,88,80,93,17,35,36.2,62.6,46.8
2022-12-18,25,43,16,98,3,81,68,82,14,30,37.0,55.0,44.2
2022-12-25,19,44,15,83,2,84,71,84,16,31,32.6,57.2,42.4
2023-01-01,13,35,12,60,1,68,52,60,15,28,24.2,44.6,32.4
2023-01-08,14,32,12,50,1,65,55,60,15,28,21.8,44.6,30.9
2023-01-15,14,32,12,49,2,58,67,58,15,27,21.8,45.0,31.1
2023-01-22,15,28,13,44,2,58,54,57,14,27,20.4,42.0,29.0
2023-01-29,14,31,13,49,2,63,53,60,15,29,21.8,44.0,30.7
2023-02-05,15,30,12,48,2,61,49,60,16,30,21.4,43.2,30.1
2023-02-12,13,31,13,51,1,60,54,59,16,28,21.8,43.4,30.4
2023-02-19,13,34,14,60,1,67,55,62,18,29,24.4,46.2,33.1
2023-02-26,13,33,13,55,1,65,51,59,17,29,23.0,44.2,31.5
2023-03-05,15,34,14,61,2,66,57,63,18,28,25.2,46.4,33.7
2023-03-12,14,35,14,59,2,65,56,70,17,29,24.8,47.4,33.8
2023-03-19,14,34,12,58,1,69,55,71,19,29,23.8,48.6,33.7
2023-03-26,14,31,12,55,1,70,62,59,17,27,22.6,47.0,32.4
2023-04-02,14,32,14,62,2,64,61,62,16,29,24.8,46.4,33.4
2023-04-09,14,32,13,58,2,61,60,59,17,29,23.8,45.2,32.4
2023-04-16,14,31,13,52,2,62,51,62,17,29,22.4,44.2,31.1
2023-04-23,13,31,14,50,2,59,54,58,16,30,22.0,43.4,30.6
2023-04-30,14,31,14,54,2,59,48,63,16,27,23.0,42.6,30.8
2023-05-07,13,30,15,54,2,57,50,70,16,27,22.8,44.0,31.3
2023-05-14,14,30,14,54,2,60,48,100,16,27,22.8,50.2,33.8
2023-05-21,13,33,15,58,2,60,49,78,16,28,24.2,46.2,33.0
2023-05-28,13,33,14,67,2,59,45,75,17,26,25.8,44.4,33.2
2023-06-04,12,32,13,55,2,58,41,59,16,27,22.8,40.2,29.8
2023-06-11,13,31,14,65,2,59,50,57,16,26,25.0,41.6,31.6
2023-06-18,12,31,13,64,2,56,42,53,16,25,24.4,38.4,30.0
2023-06-25,12,34,14,61,2,55,36,52,15,24,24.6,36.4,29.3
2023-07-02,14,41,15,72,2,57,44,54,16,26,28.8,39.4,33.0
2023-07-09,13,38,13,66,4,58,52,53,15,25,26.8,40.6,32.3
2023-07-16,14,37,16,75,2,65,62,59,15,25,28.8,45.2,35.4
2023-07-23,14,42,16,83,2,69,79,67,17,30,31.4,52.4,39.8
2023-07-30,16,42,19,86,2,78,71,74,18,31,33.0,54.4,41.6
2023-08-06,16,42,17,88,2,77,70,73,18,32,33.0,54.0,41.4
2023-08-13,14,37,15,82,3,72,54,63,18,30,30.2,47.4,37.1
2023-08-20,14,37,13,71,2,69,53,54,16,30,27.4,44.4,34.2
